area,item,unit,year,value
Bhutan,Swine,kt,2014,0.0426
Bhutan,Swine,kt,2015,0.0472
Bhutan,Swine,kt,2016,0.046
Bhutan,Swine,kt,2017,0.0564
Bhutan,Swine,kt,2018,0.0654
Bhutan,Swine,kt,2019,0.0602
Bhutan,Swine,kt,2020,0.0527
Bhutan,Swine,kt,2021,0.0689
Bhutan,Swine,kt,2022,0.0992
Bhutan,Swine,kt,2023,0.0889
Brunei Darussalam,Buffalo,kt,2010,0.2351
Brunei Darussalam,Buffalo,kt,2011,0.1454
Brunei Darussalam,Buffalo,kt,2012,0.139
Brunei Darussalam,Buffalo,kt,2013,0.134
Brunei Darussalam,Buffalo,kt,2014,0.1434
Brunei Darussalam,Buffalo,kt,2015,0.1677
Brunei Darussalam,Buffalo,kt,2016,0.1571
Brunei Darussalam,Buffalo,kt,2017,0.1527
Brunei Darussalam,Buffalo,kt,2018,0.1322
Brunei Darussalam,Buffalo,kt,2019,0.1306
Brunei Darussalam,Buffalo,kt,2020,0.1311
Brunei Darussalam,Buffalo,kt,2021,0.0747
Brunei Darussalam,Buffalo,kt,2022,0.0689
Brunei Darussalam,Buffalo,kt,2023,0.0579
Brunei Darussalam,Cattle,kt,2010,0.0475
Brunei Darussalam,Cattle,kt,2011,0.0485
Brunei Darussalam,Cattle,kt,2012,0.0441
Brunei Darussalam,Cattle,kt,2013,0.0435
Brunei Darussalam,Cattle,kt,2014,0.0411
Brunei Darussalam,Cattle,kt,2015,0.0432
Brunei Darussalam,Cattle,kt,2016,0.0446
Brunei Darussalam,Cattle,kt,2017,0.037
Brunei Darussalam,Cattle,kt,2018,0.0386
Brunei Darussalam,Cattle,kt,2019,0.0352
Brunei Darussalam,Cattle,kt,2020,0.0334
Brunei Darussalam,Cattle,kt,2021,0.0211
Brunei Darussalam,Cattle,kt,2022,0.0218
Brunei Darussalam,Cattle,kt,2023,0.0189
Brunei Darussalam,Goats,kt,2010,0.0355
Brunei Darussalam,Goats,kt,2011,0.0318
Brunei Darussalam,Goats,kt,2012,0.0358
Brunei Darussalam,Goats,kt,2013,0.0363
Brunei Darussalam,Goats,kt,2014,0.0353
Brunei Darussalam,Goats,kt,2015,0.038
Brunei Darussalam,Goats,kt,2016,0.0458
Brunei Darussalam,Goats,kt,2017,0.0396
Brunei Darussalam,Goats,kt,2018,0.0322
Brunei Darussalam,Goats,kt,2019,0.0305
Brunei Darussalam,Goats,kt,2020,0.0319
Brunei Darussalam,Goats,kt,2021,0.0218
Brunei Darussalam,Goats,kt,2022,0.0217
Brunei Darussalam,Goats,kt,2023,0.0186
Brunei Darussalam,Sheep,kt,2010,0.0198
Brunei Darussalam,Sheep,kt,2011,0.0208
Brunei Darussalam,Sheep,kt,2012,0.0208
Brunei Darussalam,Sheep,kt,2013,0.0208
Brunei Darussalam,Sheep,kt,2014,0.0208
Brunei Darussalam,Sheep,kt,2015,0.0215
Brunei Darussalam,Sheep,kt,2016,0.0212
Brunei Darussalam,Sheep,kt,2017,0.0216
Brunei Darussalam,Sheep,kt,2018,0.022
Brunei Darussalam,Sheep,kt,2019,0.0222
Brunei Darussalam,Sheep,kt,2020,0.022
Brunei Darussalam,Sheep,kt,2021,0.0225
Brunei Darussalam,Sheep,kt,2022,0.0229
Brunei Darussalam,Sheep,kt,2023,0.0232
Brunei Darussalam,Swine,kt,2010,0.0095
Brunei Darussalam,Swine,kt,2011,0.0091
Brunei Darussalam,Swine,kt,2012,0.0087
Brunei Darussalam,Swine,kt,2013,0.0097
