area,item,unit,year,value
Armenia,Sheep,kt,2018,3.2537
Armenia,Sheep,kt,2019,3.1401
Armenia,Sheep,kt,2020,3.2619
Armenia,Sheep,kt,2021,3.5365
Armenia,Sheep,kt,2022,3.5281
Armenia,Sheep,kt,2023,3.4701
Armenia,Swine,kt,2010,0.2252
Armenia,Swine,kt,2011,0.2296
Armenia,Swine,kt,2012,0.2162
Armenia,Swine,kt,2013,0.2901
Armenia,Swine,kt,2014,0.2796
Armenia,Swine,kt,2015,0.2849
Armenia,Swine,kt,2016,0.3496
Armenia,Swine,kt,2017,0.3511
Armenia,Swine,kt,2018,0.3335
Armenia,Swine,kt,2019,0.3958
Armenia,Swine,kt,2020,0.4465
Armenia,Swine,kt,2021,0.4004
Armenia,Swine,kt,2022,0.3322
Armenia,Swine,kt,2023,0.3616
Azerbaijan,Buffalo,kt,2010,16.3666
Azerbaijan,Buffalo,kt,2011,15.8938
Azerbaijan,Buffalo,kt,2012,15.6864
Azerbaijan,Buffalo,kt,2013,15.3925
Azerbaijan,Buffalo,kt,2014,14.8867
Azerbaijan,Buffalo,kt,2015,14.2953
Azerbaijan,Buffalo,kt,2016,12.6392
Azerbaijan,Buffalo,kt,2017,11.6024
Azerbaijan,Buffalo,kt,2018,10.3955
Azerbaijan,Buffalo,kt,2019,9.586
Azerbaijan,Buffalo,kt,2020,8.6525
Azerbaijan,Buffalo,kt,2021,7.6191
Azerbaijan,Buffalo,kt,2022,7.0741
Azerbaijan,Buffalo,kt,2023,6.3775
Azerbaijan,Cattle,kt,2010,94.0281
Azerbaijan,Cattle,kt,2011,95.1235
Azerbaijan,Cattle,kt,2012,96.457
Azerbaijan,Cattle,kt,2013,97.8205
Azerbaijan,Cattle,kt,2014,99.0707
Azerbaijan,Cattle,kt,2015,99.6996
Azerbaijan,Cattle,kt,2016,100.3441
Azerbaijan,Cattle,kt,2017,100.0274
Azerbaijan,Cattle,kt,2018,100.0166
Azerbaijan,Cattle,kt,2019,99.9585
Azerbaijan,Cattle,kt,2020,100.5809
Azerbaijan,Cattle,kt,2021,101.1184
Azerbaijan,Cattle,kt,2022,100.5497
Azerbaijan,Cattle,kt,2023,97.4093
Azerbaijan,Goats,kt,2010,3.1715
Azerbaijan,Goats,kt,2011,3.1692
Azerbaijan,Goats,kt,2012,3.2035
Azerbaijan,Goats,kt,2013,3.2949
Azerbaijan,Goats,kt,2014,3.3629
Azerbaijan,Goats,kt,2015,3.3291
Azerbaijan,Goats,kt,2016,3.313
Azerbaijan,Goats,kt,2017,3.2363
Azerbaijan,Goats,kt,2018,3.1806
Azerbaijan,Goats,kt,2019,3.1367
Azerbaijan,Goats,kt,2020,3.0963
Azerbaijan,Goats,kt,2021,2.992
Azerbaijan,Goats,kt,2022,2.9681
Azerbaijan,Goats,kt,2023,2.1457
Azerbaijan,Sheep,kt,2010,40.1431
Azerbaijan,Sheep,kt,2011,39.7025
Azerbaijan,Sheep,kt,2012,40.0217
Azerbaijan,Sheep,kt,2013,40.4155
Azerbaijan,Sheep,kt,2014,40.7353
Azerbaijan,Sheep,kt,2015,40.9306
Azerbaijan,Sheep,kt,2016,40.6289
Azerbaijan,Sheep,kt,2017,39.887
Azerbaijan,Sheep,kt,2018,39.1765
Azerbaijan,Sheep,kt,2019,38.6344
Azerbaijan,Sheep,kt,2020,38.167
Azerbaijan,Sheep,kt,2021,37.3022
Azerbaijan,Sheep,kt,2022,36.5712
Azerbaijan,Sheep,kt,2023,33.8676
Azerbaijan,Swine,kt,2010,0.0107
Azerbaijan,Swine,kt,2011,0.0126
Azerbaijan,Swine,kt,2012,0.0123
Azerbaijan,Swine,kt,2013,0.013
Azerbaijan,Swine,kt,2014,0.0123
Azerbaijan,Swine,kt,2015,0.0104
Azerbaijan,Swine,kt,2016,0.0088
Azerbaijan,Swine,kt,2017,0.0097
Azerbaijan,Swine,kt,2018,0.011
Azerbaijan,Swine,kt,2019,0.0114
Azerbaijan,Swine,kt,2020,0.0118
Azerbaijan,Swine,kt,2021,0.0119
Azerbaijan,Swine,kt,2022,0.0103
Azerbaijan,Swine,kt,2023,0.0097
Bahrain,Cattle,kt,2010,0.4242
Bahrain,Cattle,kt,2011,0.4242
Bahrain,Cattle,kt,2012,0.4243
Bahrain,Cattle,kt,2013,0.4447
Bahrain,Cattle,kt,2014,0.4447
Bahrain,Cattle,kt,2015,0.3813
Bahrain,Cattle,kt,2016,0.3464
Bahrain,Cattle,kt,2017,0.2982
Bahrain,Cattle,kt,2018,0.2972
Bahrain,Cattle,kt,2019,0.3255
Bahrain,Cattle,kt,2020,0.2921
Bahrain,Cattle,kt,2021,0.3081
Bahrain,Cattle,kt,2022,0.3096
Bahrain,Cattle,kt,2023,0.2996
Bahrain,Goats,kt,2010,0.0992
Bahrain,Goats,kt,2011,0.0992
Bahrain,Goats,kt,2012,0.0966
