Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2023,2023,kg/cap,0,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2023,2023,kcal/cap/d,0.03,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2023,2023,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2010,2010,kg/cap,2.28,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2010,2010,kcal/cap/d,8.61,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2010,2010,g/cap/d,1.03,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2011,2011,kg/cap,1.91,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2011,2011,kcal/cap/d,7.22,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2011,2011,g/cap/d,0.86,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2012,2012,kg/cap,2.04,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2012,2012,kcal/cap/d,7.71,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2012,2012,g/cap/d,0.92,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2013,2013,kg/cap,2.1,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2013,2013,kcal/cap/d,7.94,E,Estimated value,
